degisken,olcu,deger
evren,hacim,4
evren,ortalama,5
evren,varyans,5
evren,standart_sapma,2.23606797749979
tasarim,orneklem_hacmi,2
tasarim,sirali_sonuc_sayisi,16
tasarim,olasilik_toplami,1
orneklem_ortalamasi,beklenen_deger,5
orneklem_ortalamasi,varyans,2.5
orneklem_ortalamasi,standart_hata,1.5811388300841898
orneklem_ortalamasi,kuramsal_standart_hata,1.5811388300841898
orneklem_ortalamasi,yanlilik,0
orneklem_ortalamasi,p_en_az_7,0.1875
orneklem_ortalamasi,p_esit_5,0.25
ortalama_2,frekans,1
ortalama_2,olasilik,0.0625
ortalama_3,frekans,2
ortalama_3,olasilik,0.125
ortalama_4,frekans,3
ortalama_4,olasilik,0.1875
ortalama_5,frekans,4
ortalama_5,olasilik,0.25
ortalama_6,frekans,3
ortalama_6,olasilik,0.1875
ortalama_7,frekans,2
ortalama_7,olasilik,0.125
ortalama_8,frekans,1
ortalama_8,olasilik,0.0625
