degisken,olcu,deger
gozlenen,Birinci_Basarili,30
gozlenen,Birinci_Basarisiz,10
gozlenen,Ikinci_Basarili,20
gozlenen,Ikinci_Basarisiz,20
beklenen,Birinci_Basarili,25
beklenen,Birinci_Basarisiz,15
beklenen,Ikinci_Basarili,25
beklenen,Ikinci_Basarisiz,15
katki,Birinci_Basarili,1
katki,Birinci_Basarisiz,1.66666666666667
katki,Ikinci_Basarili,1
katki,Ikinci_Basarisiz,1.66666666666667
pearson_artik,Birinci_Basarili,1
pearson_artik,Birinci_Basarisiz,-1.29099444873581
pearson_artik,Ikinci_Basarili,-1
pearson_artik,Ikinci_Basarisiz,1.29099444873581
satir_orani,Birinci_Basarili,0.75
satir_orani,Birinci_Basarisiz,0.25
satir_orani,Ikinci_Basarili,0.5
satir_orani,Ikinci_Basarisiz,0.5
toplamlar,toplam,80
toplamlar,satir_Birinci,40
toplamlar,satir_Ikinci,40
toplamlar,sutun_Basarili,50
toplamlar,sutun_Basarisiz,30
test,ki_kare,5.33333333333333
test,serbestlik,1
test,p,0.020921335337794
test,cramer_v,0.258198889747161
test,min_beklenen,15
test,alfa,0.05
test,reddet,1
