degisken,olcu,deger
gozlem,hacim,10
gozlem,olumlu,6
gozlem,olumsuz,4
gozlem,oran,0.6
gozlem,yaklasik_se,0.15491933384829668
gozlem,yaklasik_varyans,0.024
p_hat_060,se_25,0.09797958971132711
p_hat_060,se_400,0.02449489742783178
benzetim,tekrar_sayisi,10000.0
benzetim,orneklem_hacmi,50.0
benzetim,gercek_oran,0.4
benzetim,merkez,0.398418
benzetim,yanlilik,-0.001582
benzetim,varyans_B,0.004845777276
benzetim,varyans_Beksi1,0.004846261902190219
benzetim,ampirik_se,0.06961509823443632
benzetim,mse,0.00484828
benzetim,mse_ayrisimi,0.00484828
benzetim,kuramsal_yanlilik,0.0
benzetim,kuramsal_se,0.06928203230275509
benzetim,kuramsal_mse,0.0048
