degisken,olcu,deger
girdi,fark,2.1
girdi,standart_hata,1
girdi,serbestlik,49
girdi,null_degeri,0
girdi,alfa,0.05
test,t,2.1
test,p_cift,0.04090008899073
test,p_ust,0.020450044495365
test,p_alt,0.979549955504635
test,reddet_cift,1
test,reddet_alfa001,0
test,reddet_ust,1
test,reddet_alt,0
aralik,guven_duzeyi,0.95
aralik,kritik_t,2.00957523712926
aralik,hata_payi,2.00957523712926
aralik,alt_sinir,0.0904247628707431
aralik,ust_sinir,4.10957523712926
aralik,genislik,4.01915047425851
aralik,null_aralikta,0
