rep,ort5,z5,ort30,z30,ort100,z100
1,9.0,-0.6915887189536768,10.033333333333333,-0.4570977111919917,9.45,-2.1094097198389448
2,9.4,-0.49611283774673404,10.766666666666667,0.4207319264341757,11.28,1.89003110897569
3,12.6,1.0676942119088062,11.133333333333333,0.8596467452472573,10.23,-0.40473002231139316
4,10.4,-0.007423134729377606,10.7,0.34092923210452236,10.87,0.9939815243778753
5,13.6,1.5563839149261627,11.066666666666666,0.779844050917606,11.2,1.715192165639531
6,9.8,-0.3006369565397913,9.9,-0.6167030998512941,10.14,-0.6014238335645716
7,11.0,0.2857906870810361,11.166666666666666,0.8995480924120828,10.45,0.07607707186304132
8,13.6,1.5563839149261627,11.533333333333333,1.3384629112251665,10.44,0.054222203946021924
9,8.4,-0.9848025407640905,9.2,-1.4546313903126358,9.96,-0.9948114560709285
10,9.8,-0.3006369565397913,10.066666666666666,-0.41719636402716614,10.42,0.010512468111983128
11,12.8,1.1654321525122782,11.5,1.298561564060341,11.03,1.3436594110501934
12,14.4,1.9473356773400483,10.366666666666667,-0.05808423954373362,10.39,-0.05505213563907506
13,10.8,0.18805274647756515,10.066666666666666,-0.41719636402716614,10.52,0.22906114728218097
14,12.8,1.1654321525122782,11.366666666666667,1.1389561754010384,10.86,0.9721266564608559
15,13.4,1.4586459743226918,11.233333333333333,0.979350786741734,10.48,0.1416416756141034
16,9.4,-0.49611283774673404,11.1,0.8197453980824316,10.34,-0.16432647522417593
17,10.4,-0.007423134729377606,9.7,-0.8561111828402498,10.6,0.40390009061834004
18,8.4,-0.9848025407640905,10.833333333333334,0.5005346207638268,10.43,0.032367336029002526
19,12.4,0.9699562713053353,11.0,0.7000413565879549,10.35,-0.14247160730715652
20,12.4,0.9699562713053353,11.0,0.7000413565879549,10.84,0.9284169206268171
21,10.8,0.18805274647756515,11.3,1.0591534810713874,10.63,0.4694646943694021
22,14.0,1.7518597961331055,11.3,1.0591534810713874,11.0,1.2780948072991354
23,11.8,0.6767424494949216,10.566666666666666,0.18132384344521996,10.58,0.3601903547843012
