rep,ort5,ort30
1,9.0,10.033333333333333
2,9.4,10.766666666666667
3,12.6,11.133333333333333
4,10.4,10.7
5,13.6,11.066666666666666
6,9.8,9.9
7,11.0,11.166666666666666
8,13.6,11.533333333333333
9,8.4,9.2
10,9.8,10.066666666666666
11,12.8,11.5
12,14.4,10.366666666666667
13,10.8,10.066666666666666
14,12.8,11.366666666666667
15,13.4,11.233333333333333
16,9.4,11.1
17,10.4,9.7
18,8.4,10.833333333333334
19,12.4,11.0
20,12.4,11.0
21,10.8,11.3
22,14.0,11.3
23,11.8,10.566666666666666
24,12.2,10.633333333333333
25,12.4,10.2
26,12.0,9.933333333333334
27,7.6,8.966666666666667
28,13.2,13.0
29,12.6,12.133333333333333
30,10.8,11.1
31,9.6,12.266666666666667
32,9.6,10.866666666666667
33,6.6,10.366666666666667
34,10.0,10.7
35,11.4,10.8
36,9.4,9.233333333333333
37,10.4,9.966666666666667
38,9.6,10.633333333333333
39,10.0,9.833333333333334
40,9.0,9.733333333333333
41,8.0,11.133333333333333
42,10.0,9.733333333333333
43,12.8,11.533333333333333
44,9.6,9.6
45,7.6,9.533333333333333
46,9.4,10.6
47,9.0,10.666666666666666
48,10.0,10.2
49,9.6,8.666666666666666
50,10.6,10.833333333333334
51,12.2,12.033333333333333
52,10.8,11.2
53,9.6,11.7
54,8.2,9.666666666666666
55,7.4,10.566666666666666
56,11.0,10.7
57,11.0,11.2
58,11.0,9.966666666666667
59,12.0,12.066666666666666
60,10.0,10.933333333333334
61,10.6,10.333333333333334
62,10.2,10.566666666666666
63,3.6,7.933333333333334
64,10.8,9.933333333333334
65,11.6,10.6
66,12.6,11.066666666666666
67,8.6,10.166666666666666
68,9.4,10.833333333333334
69,6.8,9.266666666666667
70,6.8,8.633333333333333
71,14.4,11.9
72,12.2,10.2
73,11.4,11.433333333333334
74,8.6,9.2
75,12.6,11.833333333333334
76,5.6,10.966666666666667
77,9.4,11.4
78,8.6,8.6
79,12.0,11.433333333333334
80,11.6,10.7
81,9.6,9.366666666666667
82,9.0,10.8
83,8.4,8.733333333333333
84,10.6,10.6
85,7.2,9.566666666666666
86,6.2,9.566666666666666
87,9.6,11.2
88,8.4,10.8
89,8.8,9.5
90,8.0,10.466666666666667
91,6.4,9.766666666666667
92,8.6,11.1
93,7.0,10.366666666666667
94,9.4,8.866666666666667
95,13.4,10.3
96,10.6,9.666666666666666
97,6.0,8.666666666666666
