degisken,olcu,deger
cerceve,hacim,12
cerceve,benzersiz_id,12
cerceve,sinif_sayisi,3
basit,orneklem_hacmi,6
basit,dahil_edilme_olasiligi,0.5
basit,tasarim_agirligi,2
basit,agirlik_toplami,12
basit,sinif_1_frekans,2
basit,sinif_2_frekans,2
basit,sinif_3_frekans,2
basit,secilen_id_1,1
basit,secilen_id_2,3
basit,secilen_id_3,6
basit,secilen_id_4,8
basit,secilen_id_5,11
basit,secilen_id_6,12
tabakali,orneklem_hacmi,6
tabakali,dahil_edilme_olasiligi,0.5
tabakali,tasarim_agirligi,2
tabakali,agirlik_toplami,12
tabakali,sinif_1_frekans,2
tabakali,sinif_2_frekans,2
tabakali,sinif_3_frekans,2
tabakali,secilen_id_1,1
tabakali,secilen_id_2,4
tabakali,secilen_id_3,7
tabakali,secilen_id_4,8
tabakali,secilen_id_5,11
tabakali,secilen_id_6,12
