degisken,olcu,deger
girdi,hacim_1,30
girdi,ortalama_1,78
girdi,standart_sapma_1,8
girdi,hacim_2,28
girdi,ortalama_2,72
girdi,standart_sapma_2,10
girdi,cift_sayisi,20
girdi,ortalama_fark,4.2
girdi,fark_sapmasi,5
girdi,alfa,0.05
welch,katki_1,2.13333333333333
welch,katki_2,3.57142857142857
welch,fark,6
welch,standart_hata,2.38846434027429
welch,serbestlik,51.7113093118066
welch,t,2.51207434786778
welch,p_cift,0.015162868553515
welch,kritik_t,2.00691349132565
welch,hata_payi,4.7934413080467
welch,alt_sinir,1.2065586919533
welch,ust_sinir,10.7934413080467
welch,genislik,9.58688261609339
welch,reddet_cift,1
eslesmis,standart_hata,1.11803398874989
eslesmis,serbestlik,19
eslesmis,t,3.75659420219965
eslesmis,p_cift,0.00133573326183256
eslesmis,kritik_t,2.09302405440833
eslesmis,hata_payi,2.34007203209962
eslesmis,alt_sinir,1.85992796790038
eslesmis,ust_sinir,6.54007203209962
eslesmis,genislik,4.68014406419925
eslesmis,reddet_cift,1
eslesmis,dz,0.84
