degisken,olcu,deger
girdi,hacim,25
girdi,ortalama,55
girdi,standart_sapma,10
girdi,referans,50
girdi,alfa,0.05
plan_girdi,hacim,34
plan_girdi,fark,5
plan_girdi,standart_sapma,10
plan_girdi,alfa,0.05
plan_girdi,hedef_guc,0.8
test,serbestlik,24
test,standart_hata,2
test,t,2.5
test,p_cift,0.0196541751165788
test,cohen_d,0.5
test,kritik_t,2.06389856162801
test,alt_sinir,50.872202876744
test,ust_sinir,59.127797123256
test,hata_payi,4.12779712325601
test,genislik,8.25559424651203
test,reddet_cift,1
plan,plan_d,0.5
plan,plan_serbestlik,33
plan,plan_kritik_t,2.03451529744938
plan,merkezdisilik,2.91547594742265
plan,guc,0.807777501279259
plan,beta,0.192222498720741
plan,gereken_hacim,34
plan,onceki_guc,0.795365841487517
plan,gereken_guc,0.807777501279259
