degisken,olcu,deger
veri,satir_sayisi,5
veri,degisken_sayisi,1
saat,gecerli,5
saat,eksik,0
saat,toplam,25
saat,ortalama,5
saat,medyan,3
saat,en_kucuk,2
saat,en_buyuk,13
saat,aciklik,11
saat,orneklem_varyansi,20.5
saat,orneklem_std,4.527692569068709
saat,q1,3
saat,q3,4
saat,iqr,1
saat,alt_sinir,1.5
saat,ust_sinir,5.5
saat,aykiri_sayisi,1
duyarlilik_13_haric,hacim,4
duyarlilik_13_haric,ortalama,3
duyarlilik_13_haric,medyan,3
histogram,[0;3),1
histogram,[3;6),3
histogram,[6;9),0
histogram,[9;12),0
histogram,[12;15],1
